### START LOGGING ###

######[29/09/2021, 02:05:20][guest][notification] REQUEST: LOGIN
[29/09/2021, 02:05:21][admin@admin][success] Login: Đăng nhập thành công!

######[29/09/2021, 02:05:42][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:05:42][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:05:52][admin@admin][notification] REQUEST: REFRESH TOKEN

######[29/09/2021, 02:05:52][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:05:52][admin@admin][success] Refresh Token: Refresh Token thành công!
[29/09/2021, 02:05:54][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:06:13][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:06:13][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:06:23][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:06:23][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:06:25][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:06:25][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:06:44][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:06:44][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:06:54][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:06:54][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:06:56][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:06:56][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:07:15][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:07:15][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:07:25][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:07:25][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:07:27][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:07:27][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:07:46][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:07:46][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:07:56][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:07:56][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:07:58][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:07:58][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:08:17][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:08:17][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:08:27][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:08:27][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:08:29][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:08:29][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:08:48][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:08:48][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:08:58][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:08:58][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:09:00][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:09:00][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:09:19][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:09:19][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:09:29][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:09:29][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:09:31][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:09:31][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:09:50][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:09:50][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:10:00][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:10:00][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:10:02][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:10:02][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:10:21][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:10:21][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:10:31][admin@admin][notification] REQUEST: REFRESH TOKEN
[29/09/2021, 02:10:31][admin@admin][success] Refresh Token: Refresh Token thành công!

######[29/09/2021, 02:10:33][admin@admin][notification] REQUEST: REFRESH TOKEN
