### START LOGGING ###

######[29/09/2021, 02:05:21][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 02:05:22][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 02:11:39][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 02:11:39][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 02:19:26][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 02:19:26][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 02:19:28][admin@admin][notification] REQUEST: REMOVE FILE
[29/09/2021, 02:19:29][admin@admin][success] Remove File From Database: Xoá File thành công!

######[29/09/2021, 02:19:36][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 02:19:36][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 02:22:25][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 02:22:26][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 02:23:05][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 02:23:06][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 02:23:28][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 02:23:28][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:28:03][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:28:04][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:29:11][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 11:29:35][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 11:29:35][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:29:36][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:34:22][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:34:22][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:34:23][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:34:24][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:34:24][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:34:25][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:34:30][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 11:34:35][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 11:34:41][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 11:35:30][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 11:35:38][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 11:35:40][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 11:35:40][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:35:41][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:36:11][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:36:12][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:36:16][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:36:16][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:36:21][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:36:21][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:36:26][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:36:26][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:36:53][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 11:37:00][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 11:37:06][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 11:37:18][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 11:37:23][admin@admin][notification] REQUEST: UPLOAD FILE

######[29/09/2021, 11:37:53][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:37:53][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 11:37:57][admin@admin][notification] REQUEST: UPLOAD FILE
[29/09/2021, 11:38:09][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 11:38:28][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 11:38:44][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 11:38:47][admin@admin][success] Upload File: Upload và convert file thành công!
[29/09/2021, 11:38:55][admin@admin][success] Upload File: Upload và convert file thành công!

######[29/09/2021, 11:38:56][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 11:38:56][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[29/09/2021, 15:36:09][admin@admin][notification] REQUEST: GET LIST FILE
[29/09/2021, 15:36:10][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

